code,Species,Sex,Number,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11
NMBS,Common Green Darner,m,1,1,0,0,0,0,0,0,0,0,0,0
NMPN,Painted Skimmer,m,2,1,0,0,0,0,0,0,0,0,0,0
NMBN,Painted Skimmer,m,3,1,0,0,0,0,0,0,0,0,0,0
NMPN,Painted Skimmer,m,4,1,0,0,0,0,0,0,0,0,0,0
HB,Carolina Saddlebags,m,5,1,0,0,0,0,0,0,0,0,0,0
HB,Painted Skimmer,m,6,1,0,0,0,0,0,0,0,0,0,0
HB,Painted Skimmer,m,7,1,0,0,0,0,0,0,0,0,0,0
HB,Painted Skimmer,m,8,1,0,0,0,0,0,0,0,0,0,0
HB,Painted Skimmer,m,9,1,0,0,0,0,0,0,0,0,0,0
HB,Painted Skimmer,m,10,1,0,0,0,0,0,0,0,0,0,0
HB,Painted Skimmer,m,11,1,0,0,0,0,0,0,0,0,0,0
HB,Carolina Saddlebags,m,12,1,0,0,0,0,0,0,0,0,0,0
HB,Painted Skimmer,m,13,1,0,0,0,0,0,0,0,0,0,0
HB,Painted Skimmer,m,14,1,0,0,0,0,0,0,0,0,0,0
HB,Carolina Saddlebags,m,15,1,0,0,0,0,0,0,0,0,0,0
HB,Carolina Saddlebags,m,16,1,0,0,0,0,0,0,0,0,0,0
HB,Carolina Saddlebags,m,17,1,0,0,0,0,0,0,0,0,0,0
HB,Carolina Saddlebags,m,18,1,0,0,0,0,0,0,0,0,0,0
NMPN,Painted Skimmer,m,19,0,1,0,0,0,0,0,0,0,0,0
NMPN,Painted Skimmer,m,20,0,1,0,0,0,0,0,0,0,0,0
NMPN,Painted Skimmer,m,21,0,1,0,0,0,0,0,0,0,0,0
NMPN,Painted Skimmer,m,22,0,1,0,0,0,0,0,0,0,0,0
HB,Carolina Saddlebags,m,23,0,1,0,0,0,0,0,0,0,0,0
HB,Painted Skimmer,m,24,0,1,0,0,0,0,0,0,0,0,0
HB,Painted Skimmer,m,25,0,1,0,0,0,0,0,0,0,0,0
HB,Painted Skimmer,m,26,0,1,0,0,0,0,0,0,0,0,0
HB,Painted Skimmer,m,27,0,1,0,0,0,0,0,0,0,0,0
HB,Carolina Saddlebags,m,28,0,1,0,0,0,0,0,0,0,0,0
HB,Carolina Saddlebags,m,29,0,1,0,0,0,0,0,0,0,0,0
HB,Painted Skimmer,m,30,0,1,0,0,0,0,0,0,0,0,0
HB,Chalk Fronted Corporal,m,31,0,1,0,0,0,0,0,0,0,0,0
HB,Painted Skimmer,m,32,0,1,0,0,0,0,0,0,0,0,0
HB,Carolina Saddlebags,m,33,0,1,0,0,0,0,0,0,0,0,0
HB,Carolina Saddlebags,m,34,0,1,0,0,0,0,0,0,0,0,0
NMPS,Painted Skimmer,m,35,1,0,0,0,0,0,0,0,0,0,0
NMPS,Painted Skimmer,m,36,1,0,0,0,0,0,0,0,0,0,0
